Year,Endeavor Air,American,Alaska,JetBlue,Delta,ExpressJet,Frontier,Allegiant,Hawaiian,Envoy Air,Spirit,US Airways,SkyWest,United,Southwest,Mesa,Midwest
Charleston,3.857142857,23.23577236,2.545454545,18.46153846,7.344086022,81.66666667,56.10344828,14.5,0,6.638888889,0,16,0,16.39506173,14.83276451,9,8.488673139
Charleston/Dunbar,0,0,0,0,20.09677419,11.16129032,0,0,0,0,2.111111111,15.98214286,13.00892857,0,0,0,0
Charlotte Amalie,0,21.35483871,0,5.147540984,5.260869565,0,0,0,0,0,24.03225806,0,0,1.375,0,0,0
Charlotte,18.00694444,14.77204659,0,19.83760684,10.55306122,20.67206478,24.44715447,0,0,16.49337748,0,15.86928563,27.53846154,19.12903226,25.00409836,13.86309524,14.44217687
Charlottesville,4.884615385,0,0,0,0.483870968,0,0,0,0,30.45283019,0,18.80487805,21.62983425,0,0,0,0
Chattanooga,13.87356322,0,0,0,2.303571429,20.33992095,0,29.76470588,0,0,0,22.1965812,10.58139535,0,0,0,0
Chicago,30.17977528,19.07247191,16.42160279,38.7721519,21.64824655,18.11923688,40.27074236,0,0,12.26739368,19.71002387,24.6424581,19.62582426,19.74693107,20.14659686,0,15.49815951
Christiansted,0,22.60606061,0,16.80645161,17.75,0,0,0,0,0,0,0,0,0,0,0,0
Cincinnati,17.02427184,10.45901639,0,0,6.499241275,216,18.16986301,16.95389049,0,18.15492958,0,25.06388206,21.53177258,37.56338028,11.0982906,9.08496732,10.40344828
Clarksburg/Fairmont,0,0,0,0,0,0,0,40.125,0,0,0,0,16.625,0,0,0,0
Cleveland,14.11214953,11.08038585,0,10.20168067,11.27952756,11.5879575,14.90041494,31.52439024,0,14.25671642,23.8697479,40.328125,21.84615385,9.070904645,11.39108911,15.01818182,15.87341772
Cody,0,0,0,0,0,0,0,0,0,0,0,0,19.01075269,0,0,0,0
College Station/Bryan,0,0,0,0,0,8.287878788,0,0,0,18.78448276,0,0,0,0,0,0,0
Colorado Springs,0,20.94736842,0,0,0.346153846,0,27.69346734,0,0,8.535714286,0,0,14.80652174,0,0,0,9.741935484
Columbia,0,0,0,0,0,0,0,0,0,16.26315789,0,0,42,0,0,5.285714286,0
Columbia,0.230769231,0,0,0,3.943589744,16.42222222,0,0,0,8.982758621,0,11.01041667,0,0,0,0,0
Columbus,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbus,0,0,0,0,0,0,0,0,0,0,0,0,6.704545455,0,0,0,0
Columbus,35.22222222,17.08080808,0,0,11.19879518,34.75,11.8372093,27.98214286,0,20.72985782,4.943548387,26.86440678,15.58536585,21.46551724,10.73031496,7.842105263,8.460641399
CONCORD,0,0,0,0,0,0,0,19.16049383,0,0,0,0,0,0,0,0,0
Cordova,0,0,7.419354839,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corpus Christi,0,0,0,0,0,5.956989247,0,0,0,0,0,0,0,0,13.47321429,7.518218623,0
Dallas,0,0,12.36571429,0,15.75524476,0,0,0,0,0,0,0,16.71181556,0,21.40808615,0,0
Dallas/Fort Worth,23.36410256,16.12265573,4.596774194,20.0862069,9.067857143,14.68333333,17.4,0,0,6.45851819,18.41452514,0,15.44230769,15.48667851,0,13.8890896,23.50986842
Dayton,6.083333333,0,0,0,4.550847458,43.21052632,0,8.76,0,3.686956522,0,18.53612167,14.73214286,0,0,0,2.291666667
Daytona Beach,0,0,0,12.35483871,9.375838926,0,0,0,0,0,0,14.18032787,0,0,0,0,0
Deadhorse,0,0,6.047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denver,33.5,10.05978261,11,26.59550562,8.170421156,0,22.68706118,22.38888889,0,0,17.48208469,0,9.104541994,10.24980635,14.73599306,0,9.93877551
Des Moines,10.78010471,16.97260274,0,0,3.544444444,19.43333333,15.17647059,15.65671642,0,20.61654135,0,9.296610169,14.85897436,23.1375,10.35955056,2.4,18.98113208
Detroit,10.3975984,19.05273438,3.175824176,10.78688525,9.38424969,13.22608696,26.33333333,0,0,20.26865672,9.346827133,3.557377049,12.32421341,26.54761905,11.96375618,10.50847458,18.01278409
Devils Lake,0,0,0,0,0,0,0,0,0,0,0,0,14.59615385,0,0,0,0
Dothan,0,0,0,0,0,0,0,0,0,0,0,0,9.445378151,0,0,0,0
Dubuque,0,0,0,0,0,0,0,0,0,16.24590164,0,0,0,0,0,0,0
Duluth,0,0,0,0,0,0,0,0,0,0,0,0,18.66995074,21.20833333,0,0,0
Durango,0,0,0,0,0,0,0,0,0,0,0,0,7.141843972,0,0,13.37614679,0
Eagle,0,0,0,0,0,0,0,0,0,0,0,0,18.93333333,2.25,0,0,0
Eau Claire,0,0,0,0,0,0,0,0,0,0,0,0,27.27868852,0,0,0,0
El Paso,0,15.66009852,0,0,4.065789474,30.46666667,57.40740741,14.72222222,0,0,0,0,6.14084507,0,14.76254181,13.52196382,11.68965517
Elko,0,0,0,0,0,0,0,0,0,0,0,0,0.473684211,0,0,0,0
Elmira/Corning,0,0,0,0,0,0,0,3.764705882,0,0,0,0,0,0,0,0,0
Erie,0,0,0,0,0,0,0,0,0,0,0,0,25.89772727,0,0,0,0
Escanaba,0,0,0,0,0,0,0,0,0,0,0,0,4.814814815,0,0,0,0
Eugene,0,0,0,0,0,0,0,24.47619048,0,0,0,0,13.77922078,13.9516129,0,0,0
Evansville,5.144927536,0,0,0,0.161290323,14.78,0,3.636363636,0,49.91666667,0,4.62295082,19.67741935,0,0,2.166666667,0
Fairbanks,0,0,2.12173913,0,31.81578947,0,0,0,0,0,0,0,0,0,0,0,0
Fargo,0,0,0,0,28.71875,0,56.5,29.36666667,0,13.57342657,0,0,16.13833992,0,0,0,0
Fayetteville,11.68695652,11.88888889,0,0,0.717948718,19.94977169,0,86.80952381,0,12.1260274,0,6.495495495,25.38709677,0,0,10,18.21818182
Fayetteville,10.00952381,0,0,0,1.032258065,0,0,0,0,19.64516129,0,15.94413408,0,0,0,0,0
Flagstaff,0,0,0,0,0,0,0,0,0,0,0,0,5.398373984,0,0,0,0
Flint,3.660714286,0,0,0,1.129032258,0,0,11.71052632,0,31.30612245,0,0,13.06711409,0,14.70238095,0,0
Florence,0,0,0,0,0,0,0,0,0,0,0,1.357142857,0,0,0,0,0
Fort Lauderdale,0,10.51383399,18.42857143,26.40945626,8.579831933,0,0,19.83265306,0,0,14.69601677,0,22.23076923,16.95665635,16.45978106,0,0
Fort Myers,0,12.94722955,0,22.26086957,5.265957447,0,18.01315789,0,0,0,36.0625,0,0,20.74596774,10.38155515,0,10
Fort Smith,0,0,0,0,0,12,0,0,0,15.80327869,0,0,10.73529412,0,0,14.69811321,0
Fort Wayne,0,0,0,0,0,9.752808989,0,17.23255814,0,0,0,10.70491803,13.43583535,0,0,0,0
Fresno,0,6.676056338,0,0,0,0,2.8,17.41025641,0,0,0,0,16.23680456,2.433333333,0,5.307692308,0
Gainesville,4.242424242,0,0,0,5.689655172,0,0,0,0,9.452830189,0,12.40410959,0,0,0,0,0
Garden City,0,0,0,0,0,0,0,0,0,13.22580645,0,0,0,0,0,0,0
Gillette,0,0,0,0,0,0,0,0,0,0,0,0,7.263157895,0,0,0,0
Grand Forks,0,0,0,0,0,0,0,20.29411765,0,0,0,0,12.38787879,0,0,0,0
Grand Island,0,0,0,0,0,0,0,45.76470588,0,27.4516129,0,0,0,0,0,0,0
Grand Junction,0,0,0,0,0,0,0,11.375,0,9.211111111,0,0,1.866666667,0,0,0,0
Grand Rapids,8.659574468,0,0,0,10.14098361,11.08474576,12.36111111,23.77922078,0,15.63070539,0,8.209677419,23.96946565,24.41666667,17.24822695,0,12.96470588
Great Falls,0,0,0,0,0,0,0,22.58823529,0,0,0,0,5.554621849,0,0,0,0
Green Bay,2.573770492,0,0,0,12.92156863,0,0,0,0,0,0,0,14.43322476,0,0,0,0
Greensboro/High Point,15.82967033,0,0,0,8.68722467,28.73333333,17,34.70588235,0,12.51401869,0,21.50234742,0,0,0,0,17.53571429
Greenville,0,0,0,0,0,0,0,0,0,0,0,25.06451613,0,0,0,0,0
Greer,2.655172414,9.473684211,0,0,7.378787879,1.322580645,0,22.54545455,0,12.86956522,0,16.46505376,22.48598131,0,11.86206897,0,9.903225806
Guam,0,0,0,0,0,0,0,0,0,0,0,0,0,4.71875,0,0,0
Gulfport/Biloxi,0,0,0,0,4.596491228,7.934782609,0,23.88888889,0,17.46666667,0,5.258064516,0,0,0,22.55172414,0
Hagerstown,0,0,0,0,0,0,0,62.61538462,0,0,0,0,0,0,0,0,0
Hancock/Houghton,0,0,0,0,0,0,0,0,0,0,0,0,25.86666667,0,0,0,0
Harlingen/San Benito,0,0,0,0,0,0,0,0,0,0,0,0,29.42592593,0,12.10982659,7.862068966,0
Harrisburg,12.76190476,7.770491803,0,0,4.735632184,0,0,27.14285714,0,17.5,0,15.92857143,19.56284153,29.24137931,0,0,0
Hartford,7.75,14.78590078,0,18.17465753,11.27835052,0,0,0,0,0,13.85576923,25.53968254,25.20512821,16.43961353,10.3585209,54.13793103,8.363636364
Hattiesburg/Laurel,0,0,0,0,0,0,0,0,0,0,0,0,45.54098361,0,0,0,0
Hays,0,0,0,0,0,0,0,0,0,0,0,0,24.9223301,0,0,0,0
Helena,0,0,0,0,0,0,0,0,0,0,0,0,2.411764706,0,0,0,0
Hibbing,0,0,0,0,0,0,0,0,0,0,0,0,6.666666667,0,0,0,0
Hilo,0,0,0,0,0,0,0,0,2.337231969,0,0,0,0,8.580645161,0,0,0
Hobbs,0,0,0,0,0,3.862068966,0,0,0,0,0,0,0,0,0,0,0
Honolulu,0,10.53515625,10.62835249,0,4.003861004,0,0,0,3.154081633,0,0,0,0,11.24324324,0,0,0
Houston,17.41414141,11.43128655,8.210526316,15.36065574,17.42725173,5.17604913,5.868852459,0,0,19.71875,12.42931034,0,14.62592593,14.22375479,17.64251429,8.769631559,9.759426848
Huntsville,2.571428571,0,0,0,5.57,8.539325843,0,0,0,2.333333333,0,17.50649351,10.66666667,0,0,9.318965517,10.71830986
Hyannis,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho Falls,0,0,0,0,0,0,0,24.4,0,0,0,0,11.23300971,0,0,0,0
Indianapolis,21.16410256,19.31493506,7.37704918,0,6.894957983,32.37606838,14.01470588,22.46745562,0,12.23183391,0,25.69312169,13.02717391,22.44318182,12.14528302,13.63636364,7.256526674
International Falls,0,0,0,0,0,0,0,0,0,0,0,0,29.39215686,0,0,0,0
Iron Mountain/Kingsfd,0,0,0,0,0,0,0,0,0,0,0,0,46.78125,0,0,0,0
Islip,0,0,0,0,0,0,20.46820809,0,0,0,0,0,0,0,13.63480392,0,0
Ithaca/Cortland,0,0,0,0,0,0,0,0,0,0,0,0,5.818181818,0,0,0,0
Jackson,0,0,0,0,2.403225806,38.74193548,0,0,0,0,0,0,5.913793103,0,0,0,0
Jackson/Vicksburg,0,0,0,0,4.76,16.03636364,0,0,0,18.73972603,0,14.68695652,0,0,0,18.25974026,0
Jacksonville,10.92608696,13.83381924,0,17.38507463,5.688654354,0,15.7875,25.31666667,0,19.01807229,0,0.7,11.55172414,16.89361702,13.77113402,22.1559633,8.033742331
Jacksonville/Camp Lejeune,5.108108108,0,0,0,0,6.333333333,0,0,0,0,0,14.19354839,0,0,0,0,0
Jamestown,0,0,0,0,0,0,0,0,0,0,0,0,11.79268293,0,0,0,0
Joplin,0,0,0,0,0,25.43137255,0,0,0,7,0,0,0,0,0,0,0
Juneau,0,0,6.872521246,0,0.285714286,0,0,0,0,0,0,0,0,0,0,0,0
Kahului,0,6.494186047,8.026229508,0,1.612903226,0,0,0,4.978723404,0,0,0,0,12.23170732,0,0,0
Kalamazoo,0,0,0,0,0,0,0,0,0,16.56097561,0,0,9.901515152,0,0,0,0
Kalispell,0,0,0,0,5.533333333,0,0,64.55555556,0,0,0,0,2.516853933,0,0,0,0
Kansas City,14.10222222,10.86313466,6.543859649,0,4.473413379,13.66666667,18.26666667,12.79411765,0,14.46987952,3,2,13.95294118,7.797385621,13.03211217,7.291428571,9.881690141
Ketchikan,0,0,4.805970149,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Key West,0,0,0,0,6.290322581,20.12903226,0,0,0,0,0,0,0,0,0,0,13.86938776
Killeen,0,0,0,0,0,11.44705882,0,0,0,8.014084507,0,0,0,0,0,0,0
Knoxville,7.608955224,0,0,0,21.42307692,11.84016393,39.94117647,25.2173913,0,0,0,21.25587467,13.53333333,14.96153846,0,0,0
Kodiak,0,0,2.703703704,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kona,0,30.76744186,10.86413043,0,5.580645161,0,0,0,2.097744361,0,0,0,0,2.218579235,0,0,0
Kotzebue,0,0,4.827586207,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Crosse,0,0,0,0,0,0,0,0,0,0,0,0,18.68786127,0,0,0,0
Lafayette,0,0,0,0,2.451612903,10.80701754,0,0,0,14.52542373,0,0,29.51136364,0,0,12.0483871,13.20833333
Lake Charles,0,0,0,0,0,6,0,0,0,19.56179775,0,0,0,0,0,0,0
Lansing,0,0,0,0,0,0,0,0,0,13.98181818,0,0,12.49212598,0,0,0,0
Laramie,0,0,0,0,0,0,0,0,0,0,0,0,10.37037037,0,0,0,0
Laredo,0,0,0,0,0,17.35294118,0,27.55555556,0,13.30508475,0,0,0,0,0,0,0
Las Vegas,0,11.71285476,10.31728045,13.02083333,4.370967742,0,14.80839416,12.74358974,23.7875,0,13.49788673,0,13.875,14.02782194,15.39268254,0,0
Latrobe,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
Lawton/Fort Sill,0,0,0,0,0,0,0,0,0,9.158333333,0,0,0,0,0,0,0
Lewisburg,0,0,0,0,0,0,0,0,0,0,0,0,25.75362319,0,0,0,0
Lewiston,0,0,0,0,0,0,0,0,0,0,0,0,0.140350877,0,0,0,0
Lexington,1.833333333,0,0,0,6.433333333,9.61038961,0,25.87951807,0,11.28333333,0,18.08588957,13.66666667,0,0,0,6.24
Liberal,0,0,0,0,0,0,0,0,0,0,0,0,14.16666667,0,0,0,0
Lihue,0,16.11702128,6.595744681,0,7.895833333,0,0,0,2.685185185,0,0,0,0,12.52317881,0,0,0
Lincoln,13,0,0,0,0,0,0,0,0,0,0,0,8.206896552,0,0,0,0
Little Rock,0,0,0,0,7.842364532,7.585858586,0.705882353,36.8,0,12.25210084,0,7.550561798,14.14383562,0,11.42512077,11.34693878,8.8
Long Beach,0,0,0,13.42764378,0,0,0,0,0,0,0,0,8.520661157,0,5.358208955,13.8988764,0
Longview,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0
Los Angeles,0,10.72011662,10.38548636,13.07441016,9.429996781,0,21.0326087,17.28282828,10.25268817,0,11.72576177,0,9.437789799,7.536613272,17.53139827,0,0
Louisville,15.85714286,44.21428571,0,0,8.597609562,21.96666667,16.07142857,37.94047619,0,19.1744186,0,16.96491228,25.56126482,28.46153846,16.09736842,20.66901408,11.79768786
Lubbock,0,0,0,0,0,15.98913043,0,0,0,6.615384615,0,0,0,0,16.5645933,12.07291667,0
Lynchburg,0,0,0,0,0,0,0,0,0,0,0,31.44715447,0,0,0,0,0
Madison,65.625,0,0,0,4.2578125,13.93442623,28.73809524,0,0,12.25,0,16.55172414,16.3772242,7.701492537,0,0,39.94545455
Manchester,8.792307692,0,0,0,9.387096774,0,0,0,0,0,0,12.7,0,0,8.162907268,0,3.965753425
Manhattan/Ft. Riley,0,0,0,0,0,12.96774194,0,0,0,16.63736264,0,0,0,0,0,0,0
Marquette,0,0,0,0,0,0,0,0,0,11.68571429,0,0,9.126436782,0,0,0,0
Martha's Vineyard,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Medford,0,0,0,0,0,0,0,36.40740741,0,0,0,0,16.03611111,13.29032258,0,0,0
Melbourne,0,2.258064516,0,0,2.979452055,0,0,0,0,0,0,1.4,0,0,0,0,0
Memphis,10.83333333,12.93627451,0,0,6.757211538,17.336,38.38461538,35.01369863,0,10.95384615,0,11.06077348,13.79518072,3.272727273,17.09782609,12,9.586419753
Meridian,0,0,0,0,0,0,0,0,0,0,0,0,42.83516484,0,0,0,0
Miami,0,21.11395945,0,0,10.57283951,0,34.2125,0,0,8.09921671,0,0,0,28.95249406,0,0,7.476814516
Midland/Odessa,0,0,0,0,0,1.280701754,0,0,0,1.769230769,0,0,3.483870968,0,11.75097276,10.20737327,12.56074766
Milwaukee,6.515151515,10.25,5.225806452,0,9.193133047,15.88983051,19.02884615,22.23333333,0,16.13043478,0,9.324137931,17.16824645,0,11.01972387,0,7.53125
Minneapolis,10.61055635,13.60988075,0.610169492,14.8255814,8.657259562,18.19117647,17.11180124,0,0,13.91891892,20.56764706,0,16.18238713,17.9965035,13.41107872,7.807453416,13.00773196
Minot,0,0,0,0,0,0,0,25.04545455,0,0,0,0,5.170731707,0,0,0,0
Mission/McAllen/Edinburg,0,15.72619048,0,0,0,0.315789474,0,16.02777778,0,0,0,0,0,8.095238095,0,17.89115646,0
Missoula,0,0,0,0,1.836065574,0,31.8125,29.38461538,0,0,0,0,3.026785714,0,0,0,0
Moab,0,0,0,0,0,0,0,0,0,0,0,0,5.607843137,0,0,0,0
Mobile,5.578313253,0,0,0,8,15.52604167,0,0,0,0,0,16.30851064,6.081967213,0,0,15.21649485,0
Moline,0,0,0,0,0,10.97163121,0,19.22727273,0,15.54945055,0,0,30.34013605,0,0,16,16.8125
Monroe,0,0,0,0,0,3.345132743,0,0,0,3.971428571,0,0,9.727272727,0,0,0,0
Monterey,0,0,0,0,0,0,0,18.375,0,0,0,0,14.48638132,0,0,31.62903226,0
Montgomery,9.341463415,0,0,0,0,0,0,0,0,12.09009009,0,10.828125,11.97368421,0,0,0,0
Montrose/Delta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.433333333,0
Mosinee,6.176056338,0,0,0,0,42.70909091,0,0,0,20.84931507,0,0,20.73333333,0,0,0,0
Muskegon,0,0,0,0,0,0,0,0,0,0,0,0,11.71698113,0,0,0,0
Myrtle Beach,6.137931034,11.8,0,0,7.577235772,0,12.42857143,31.58947368,0,0.125,17.63636364,16.4354067,0,25.6,0,0,13.02222222
Nantucket,0,0,0,21.38888889,0,0,0,0,0,0,0,0,0,0,0,0,0
Nashville,18.37419355,13.57480315,21.72580645,36.77419355,8.681338028,5.266666667,15.9,0,0,15.21862348,0,19.44347826,18.70072993,25.67410714,14.90588235,19.04347826,12.73273273
New Bern/Morehead/Beaufort,12.01639344,0,0,0,0,0,0,0,0,0,0,23.05,0,0,0,0,0
New Haven,0,0,0,0,0,0,0,0,0,0,0,10.70886076,0,0,0,0,0
New Orleans,9.289473684,13.76570458,16.51612903,17.7431694,8.43281471,0,26.54545455,26.27692308,0,0,17.04821803,0,0,15.64980545,16.96949153,18.95,5.445141066
New York,13.93159091,10.50443561,12.00236967,13.65652484,11.69276979,10.85993485,18.57777778,0,2.709677419,18.17494481,10.6875,24.83957219,36.84086444,14.27342747,21.08342362,19.72072072,11.27751519
Newark,33.97647059,12.71782946,12.64164649,28.30852503,18.11410788,11.64775726,0,15.47826087,0,30.5,22.41052632,0,45.23287671,16.27274472,20.50673401,0,12.94428295
Newburgh/Poughkeepsie,0,0,0,35.46666667,0,0,0,61.61290323,0,0,0,0,10.9516129,0,0,0,0
Newport News/Williamsburg,3.416666667,0,0,0,1.580645161,10.95833333,0,0,0,0,0,14.28467153,0,0,0,0,0
Niagara Falls,0,0,0,0,0,0,0,9.172413793,0,0,10.36666667,0,0,0,0,0,0
Nome,0,0,2.951612903,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk,17.62181818,19.01960784,0,0,10.96946565,0,0,42.8,0,20.53153153,0,17.71929825,12.13333333,17.35632184,13.80608365,26.71929825,12.80540541
North Bend/Coos Bay,0,0,0,0,0,0,0,0,0,0,0,0,39.23333333,0,0,0,0
North Platte,0,0,0,0,0,0,0,0,0,0,0,0,1.185185185,0,0,0,0
Oakland,0,1.902439024,6.835680751,7.435064935,4.275862069,0,0,25.17391304,9.612903226,0,20.36075949,0,7.821428571,0,9.652707149,6.741935484,0
Ogden,0,0,0,0,0,0,0,41.375,0,0,0,0,0,0,0,0,0
Ogdensburg,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0
Oklahoma City,0,14.88546256,0,0,3.041176471,6.076923077,28.20408163,22.33333333,0,18.41964286,0,2.413793103,12.24331551,11.81081081,14.12104283,16.6374502,8.868131868
Omaha,14.01162791,16.96571429,3.35483871,0,6.90960452,2.0625,14.23214286,50.43333333,0,18.78378378,0,12.05,18.34394904,7.580645161,15.0921273,3.636363636,11.83959044
Ontario,0,11.57487923,5.128712871,0,0,0,10.80327869,0,0,0,0,0,27.133829,3.66,9.893063584,7.012345679,0
Orlando,0,14.74480519,11.94827586,20.89661538,8.115384615,0,22.25946704,0,0,0,16.65105601,0,0,14.7079646,14.49626866,0,0
Owensboro,0,0,0,0,0,0,0,43.125,0,0,0,0,0,0,0,0,0
Paducah,0,0,0,0,0,0,0,0,0,0,0,0,21.83050847,0,0,0,0
Pago Pago,0,0,0,0,0,0,0,0,10.55555556,0,0,0,0,0,0,0,0
Palm Springs,0,20.58695652,5.935483871,4,0,0,10.08333333,3.923076923,0,0,0,0,15.55223881,17.44565217,0,5.307692308,0
Panama City,0,0,0,0,10.47311828,4.112903226,0,0,0,0,0,0,0,0,19.65315315,0,0
